,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
73,"2 Hearts (feat. Gia Koka)","Sam Feldt",42206,https://open.spotify.com/track/0EdgK7ASb4kfRkW8pVMN02
74,"Love To Go","Lost Frequencies",42003,https://open.spotify.com/track/3ZjkQbe5JzzQbzRtkXyZNv
75,Señorita,"Shawn Mendes",40553,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
76,"Level of Concern","Twenty One Pilots",40411,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
77,"Like It Is",Kygo,40150,https://open.spotify.com/track/4dyrqiXUcK29hzrL2elqO3
78,Circles,"Post Malone",40081,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
79,"Higher Ground (feat. John Martin)","Martin Garrix",39934,https://open.spotify.com/track/0rohJsT6NWsThpukt0Xxdc
80,"I’m Ready (with Demi Lovato)","Sam Smith",39576,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
81,A5,DODO,39555,https://open.spotify.com/track/5K4FKzmhZA9nNUAsWwUhaE
82,"WHATS POPPIN","Jack Harlow",39375,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
83,"Zij weet het - Studio Versie","Tino Martin",39138,https://open.spotify.com/track/0rwf08N6Fm5K57S7e7FJty
84,"Play Date","Melanie Martinez",39095,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
85,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",38915,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
86,Memories,"Maroon 5",38900,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
87,"Niet Lief","Henkie T",38858,https://open.spotify.com/track/5JRzvKU4sHMjdqSj6a3R5y
88,"What A Man Gotta Do","Jonas Brothers",38456,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
89,Rutte,SFB,38151,https://open.spotify.com/track/7AcvBD07VXwfomew5oHOBS
90,Falling,"Trevor Daniel",37159,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
91,"Life Is Good (feat. Drake)",Future,36635,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
92,DomDoen,"Henkie T",36426,https://open.spotify.com/track/5vJpSCkDDqLE6bNF4cRqRG
93,"Ze Huilt Maar Ze Lacht",Maan,36249,https://open.spotify.com/track/7eTIikMQRihr1GaSK9MzFl
94,"Sinds Klein",Nass,36201,https://open.spotify.com/track/74gXJpVM2Rj4vEWV8ghQ5l
95,ROXANNE,"Arizona Zervas",36096,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
96,Levensstijl,Spanker,35797,https://open.spotify.com/track/6qbaiaT9AXWGCqocFtpJHL
97,"I Don't Care (with Justin Bieber)","Ed Sheeran",35690,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
98,Venus,Frenna,35404,https://open.spotify.com/track/0yq0Hg6IzgaT0Tm91op97y
99,goosebumps,"Travis Scott",35074,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
