,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
159,"Beautiful People (feat. Khalid)","Ed Sheeran",25333,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
160,Bruises,"Lewis Capaldi",25321,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
161,Marijuana,Josylvio,25285,https://open.spotify.com/track/6EFqESvZHB2jZVgeJyLYl6
162,"everything i wanted","Billie Eilish",25192,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
163,"Like It Is",Kygo,24967,https://open.spotify.com/track/4dyrqiXUcK29hzrL2elqO3
164,"RITMO (Bad Boys For Life)","Black Eyed Peas",24926,https://open.spotify.com/track/4NCsrTzgVfsDo8nWyP8PPc
165,"All on Me (feat. Andreas Moe)","Armin van Buuren",24835,https://open.spotify.com/track/54funePHN0bqVljoXY1YVO
166,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",24704,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
167,Oceaan,Racoon,24653,https://open.spotify.com/track/7GWU6dQFjYF5YpsAUwZfGq
168,"Don't Rush (feat. Headie One)","Young T & Bugsey",24585,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
169,"Zo Kan Het Dus Ook",Maan,24518,https://open.spotify.com/track/6u6UHWtW3XYWXJn3EdpzmZ
170,"SICKO MODE","Travis Scott",24468,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
171,"Mucho Dinero",Chivv,24435,https://open.spotify.com/track/0GOqusaomQcXWjIzRd4sE1
172,"4 Life","Jonna Fraser",24416,https://open.spotify.com/track/4BV8ZyGLSNpt12q3OiZlOX
173,"Spanning (feat. JayMoreLife)","Young Ellens",24303,https://open.spotify.com/track/1qFQ7MRkGvLO8Q4MAAtFkt
174,"BON VIBES","Chip Charlez",24244,https://open.spotify.com/track/2zlp91MvE7y89ptUqPfPA2
175,Alane,"Robin Schulz",24172,https://open.spotify.com/track/2u6Jm2klS4yvAlbSHlxUwI
176,"Chicago Freestyle (feat. Giveon)",Drake,24153,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
177,"After Party","Don Toliver",23995,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
178,"Forever Yours - Avicii Tribute",Kygo,23885,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
179,Savage,"Megan Thee Stallion",23696,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
180,"Hoe We Rocken","ADF Samski",23686,https://open.spotify.com/track/0NQugujlh3DBhhergbaQnu
181,"Deze Is Voor Mij","Suzan & Freek",23623,https://open.spotify.com/track/3eDGSll7NmfGQ8C5hen4gf
182,Robbery,"Juice WRLD",23355,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
183,"On Top (feat. Djaga Djaga)",Broertje,23351,https://open.spotify.com/track/2TVpL6pSX5vtpbCIcVJXGy
184,"lovely (with Khalid)","Billie Eilish",23209,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
185,Baianá,Bakermat,23157,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
186,"Die Young",Sheppard,23136,https://open.spotify.com/track/0XSTOKFdWPXlAEliq17XRw
187,"GUAP (feat. Dopebwoy)",Boef,22885,https://open.spotify.com/track/3J6KEr0wjZbKPpa70cXzHI
188,"Scoren (feat. Donnie, Jayh & Rolf Sanchez)",LA$$A,22770,https://open.spotify.com/track/2DSCPmPU3MyQ0z1hJh2oVs
189,"De Toreador",Opgeblazen,22570,https://open.spotify.com/track/263LTQQjp6gLjxP2O7MFBD
190,"Verleden Tijd",Frenna,22566,https://open.spotify.com/track/7qkqUFKET2tAjVHLxlLYOe
191,Kalmeer,"Jonna Fraser",22534,https://open.spotify.com/track/5kxxqoghBwjT2tO19qMwpm
192,Balenciaga,Brent,22467,https://open.spotify.com/track/7iWuPWfw4hbUzxo9u9xuhA
193,Legendary,Spanker,22362,https://open.spotify.com/track/6Vbgb9QKIyJQsARjp8Uagf
194,"Tommy Lee (feat. Post Malone)","Tyla Yaweh",22278,https://open.spotify.com/track/5QZKcQDp0tCcvMdyqEciBV
195,Joanne,"Lil Kleine",22226,https://open.spotify.com/track/4CVDlvgNCQG73T7KM5hbS0
196,"Be Alright","Dean Lewis",22225,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
197,"Post Malone (feat. RANI)","Sam Feldt",22066,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
198,"Niet Genoeg",Lijpe,22019,https://open.spotify.com/track/0xElJecFqIhqjzSIe7W8cB
199,"Ballin' (with Roddy Ricch)",Mustard,21994,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
200,Moment,"Kris Kross Amsterdam",21953,https://open.spotify.com/track/0J6sITdD8JMUBKaadJLV1U
