,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
116,"Sinds Klein",Nass,31930,https://open.spotify.com/track/74gXJpVM2Rj4vEWV8ghQ5l
117,"Niet Lief","Henkie T",31582,https://open.spotify.com/track/5JRzvKU4sHMjdqSj6a3R5y
118,Onderweg,Lijpe,31475,https://open.spotify.com/track/64yPC4gllZY1Ebhuso7K1D
119,"Kings & Queens","Ava Max",31380,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
120,"3 Nights","Dominic Fike",31235,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
121,"Some Say - Felix Jaehn Remix",Nea,31104,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
122,Letters,"Lucas & Steve",30928,https://open.spotify.com/track/4FQHqppcx6WnsOqJ5QlOjH
123,"Paper Loving","DJ Nazil",30582,https://open.spotify.com/track/3NbtfbmjixJ2QJEKA0ORX1
124,"I’m Ready (with Demi Lovato)","Sam Smith",30450,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
125,"Hij Is Van Mij (feat. Bizzey)","Kris Kross Amsterdam",30144,https://open.spotify.com/track/6716bTJI7qiHJFFSR0Ethe
126,"Go Crazy","Chris Brown",29850,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
127,"Lose Control",MEDUZA,29593,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
128,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,29445,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
129,"Blauwe Dag","Suzan & Freek",29378,https://open.spotify.com/track/0N1sqwppd1BwhNdjcIDEG2
130,"bad guy","Billie Eilish",29223,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
131,Lippenstift,"Marco Borsato",29105,https://open.spotify.com/track/3D9MKbMaHCZjSEcCWf4wDm
132,"Lucid Dreams","Juice WRLD",29051,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
133,"GO (feat. Juice WRLD)","The Kid LAROI",28967,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
134,Uncharted,Kensington,28867,https://open.spotify.com/track/1OJcaSbK9DBaxHExACplwA
135,Vliegen,"Bilal Wahib",28712,https://open.spotify.com/track/0cd6pOA7RQKKuvFQLMC4X7
136,Shallow,"Lady Gaga",28613,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
137,"HIGHEST IN THE ROOM","Travis Scott",28314,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
138,"Don't Call Me Up",Mabel,28274,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
139,"Como Tu","Rolf Sanchez",28122,https://open.spotify.com/track/4aA39M2dMcegHXYQ4Kq5MP
140,"Als Het Avond Is","Suzan & Freek",28011,https://open.spotify.com/track/1MWpdDDf3Yk0w6o4oviMFY
141,"Hoe We Rocken","ADF Samski",27981,https://open.spotify.com/track/0NQugujlh3DBhhergbaQnu
142,"My Bébé","Bryan Mg",27860,https://open.spotify.com/track/56EJ7v1FPHJWvvU89flvpW
143,"Get It All (feat. Boef & Henkie T)","Bryan Mg",27852,https://open.spotify.com/track/6dLKeM6ypiRa5J09axUzvN
144,"everything i wanted","Billie Eilish",27820,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
145,Dior,"Pop Smoke",27759,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
146,Nacht,"Kraantje Pappie",27692,https://open.spotify.com/track/06Wn0NldbOhwpKCsoTsUp7
147,Bruises,"Lewis Capaldi",27649,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
148,"On The Low","Burna Boy",27168,https://open.spotify.com/track/1PoJXULCvl03b1fiZmMxmd
149,"Snow On Tha Bluff","J. Cole",26827,https://open.spotify.com/track/1oOEkBNp4zWnkD7nWjJdog
150,Oceaan,Racoon,26753,https://open.spotify.com/track/7GWU6dQFjYF5YpsAUwZfGq
151,"Perfect (feat. Haris)","Lucas & Steve",26606,https://open.spotify.com/track/30cW9fD87IgbYFl8o0lUze
152,"BELIEVE IT",PARTYNEXTDOOR,26600,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
153,"NAPIYON LAN",Murda,26595,https://open.spotify.com/track/42grBspOHbj3eWZTXV8TK2
154,Vandaan,"Lil Kleine",26493,https://open.spotify.com/track/7ua5ORSWsf8JOrcX6SJ9Ub
155,"Out Of Town (feat. KM, NAVI & Quincy Promes)",Ocs,26451,https://open.spotify.com/track/7BuV6kuGMUDAmx0tl9qfP5
156,"SICKO MODE","Travis Scott",26439,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
157,"Higher Love",Kygo,26371,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
158,Emotieloos,"Famke Louise",26349,https://open.spotify.com/track/4R876cN0Dx7fGPZMGnwwBq
